played_at;track.name;name;played;day
2025-07-30T06:57:11.814Z;Aïe doudou pas plere;Alain Jean-Marie;2025-07-30 06:57:11.814;2025-07-30
2025-07-30T09:31:17.693Z;Camino al abismo;Eddie Palmieri;2025-07-30 09:31:17.693;2025-07-30
2025-07-30T09:34:22.966Z;La noche del golpe;Eddie Palmieri;2025-07-30 09:34:22.966;2025-07-30
2025-07-30T09:38:03.551Z;Chévere;David Rivera;2025-07-30 09:38:03.551;2025-07-30
2025-07-30T09:40:36.220Z;Aguinaldo Puertorriqueño;Renesito Avich;2025-07-30 09:40:36.22;2025-07-30
2025-07-30T09:48:44.345Z;A contraluz;Eddie Palmieri;2025-07-30 09:48:44.345;2025-07-30
2025-07-30T09:53:12.419Z;Catedral;Jay Kalo;2025-07-30 09:53:12.419;2025-07-30
2025-07-30T13:05:38.073Z;Big John's Special;Benny Goodman;2025-07-30 13:05:38.073;2025-07-30
2025-07-30T13:14:54.503Z;Big John's Special;Benny Goodman;2025-07-30 13:14:54.503;2025-07-30
2025-07-30T19:22:46.128Z;9: 20 Special;Hot Swing Sextet;2025-07-30 19:22:46.128;2025-07-30
2025-07-30T20:39:09.908Z;Green Model;Joona Toivanen Trio;2025-07-30 20:39:09.908;2025-07-30
2025-07-30T20:44:26.410Z;Trust Me;Herd;2025-07-30 20:44:26.41;2025-07-30
2025-07-30T20:50:31.433Z;Polo;Los Aurora;2025-07-30 20:50:31.433;2025-07-30
2025-07-30T20:57:47.937Z;Zorongo;Los Aurora;2025-07-30 20:57:47.937;2025-07-30
2025-07-30T21:00:12.833Z;Asturiana;Los Aurora;2025-07-30 21:00:12.833;2025-07-30
2025-07-30T21:05:31.783Z;Anda Jaleo;Los Aurora;2025-07-30 21:05:31.783;2025-07-30
2025-07-30T21:19:49.895Z;You Never Can Tell;Chuck Berry;2025-07-30 21:19:49.895;2025-07-30
2025-07-30T21:22:09.526Z;What A Wonderful World;Louis Armstrong;2025-07-30 21:22:09.526;2025-07-30
2025-07-30T21:26:02.351Z;You Belong To Me;Jo Stafford;2025-07-30 21:26:02.351;2025-07-30
2025-07-30T21:32:02.324Z;A Horse with No Name;America;2025-07-30 21:32:02.324;2025-07-30
2025-07-30T21:36:53.663Z;If You Tolerate This Your Children Will Be Next;Manic Street Preachers;2025-07-30 21:36:53.663;2025-07-30
2025-07-30T21:41:16.609Z;Somethin' Stupid;Frank Sinatra;2025-07-30 21:41:16.609;2025-07-30
2025-07-30T21:46:20.222Z;The Whole of the Moon - 2004 Remaster;The Waterboys;2025-07-30 21:46:20.222;2025-07-30
