"played_at";"track.name";"name";"played";"day"
"2025-08-13T06:36:03.839Z";"Sultans Of Swing - San Antonio Live In 85";"Dire Straits";"2025-08-13 06:36:03.839";"2025-08-13"
"2025-08-13T06:40:27.081Z";"Walk Of Life - San Antonio Live In 85";"Dire Straits";"2025-08-13 06:40:27.081";"2025-08-13"
"2025-08-13T06:45:34.459Z";"Why Worry - San Antonio Live In 85";"Dire Straits";"2025-08-13 06:45:34.459";"2025-08-13"
"2025-08-13T06:48:01.692Z";"As the Silence Falls";"The Velvet Sundown";"2025-08-13 06:48:01.692";"2025-08-13"
"2025-08-13T10:39:26.415Z";"Demonios";"Estopa";"2025-08-13 10:39:26.415";"2025-08-13"
"2025-08-13T10:43:46.239Z";"Estamos solos (feat. Vicente Amigo)";"Fuel Fandango";"2025-08-13 10:43:46.239";"2025-08-13"
"2025-08-13T10:46:39.684Z";"Te Quedaste Solo";"Edurne";"2025-08-13 10:46:39.684";"2025-08-13"
"2025-08-13T10:49:23.445Z";"YO VIVIRÉ";"La Cuarta Cuerda";"2025-08-13 10:49:23.445";"2025-08-13"
"2025-08-13T10:53:00.625Z";"De la Cueva a los Olivos";"Queralt Lahoz";"2025-08-13 10:53:00.625";"2025-08-13"
"2025-08-13T12:17:45.152Z";"Río Ancho";"Jorge Pardo";"2025-08-13 12:17:45.152";"2025-08-13"
"2025-08-13T12:32:08.939Z";"Jazz Me Blues";"Woody Herman";"2025-08-13 12:32:08.939";"2025-08-13"
"2025-08-13T13:52:22.095Z";"All The Things You Are";"Chet Baker Quartet";"2025-08-13 13:52:22.095";"2025-08-13"
"2025-08-13T13:55:41.475Z";"Sweet As Bear Meat";"Johnny Hodges";"2025-08-13 13:55:41.475";"2025-08-13"
"2025-08-13T13:59:40.129Z";"Dance Me To The End Of Love";"Madeleine Peyroux";"2025-08-13 13:59:40.129";"2025-08-13"
"2025-08-13T14:03:02.672Z";"When I Was A Boy";"Biel Ballester Trio";"2025-08-13 14:03:02.672";"2025-08-13"
"2025-08-13T17:10:16.810Z";"Prelude In E Minor";"Gerry Mulligan Sextet";"2025-08-13 17:10:16.81";"2025-08-13"
"2025-08-13T17:36:33.178Z";"Maria la Gorda";"Siberian Hotheads";"2025-08-13 17:36:33.178";"2025-08-13"
"2025-08-13T17:50:08.166Z";"Prélude No.2 en ut mineur, BWV 847";"Jacques Loussier";"2025-08-13 17:50:08.166";"2025-08-13"
"2025-08-13T17:53:32.137Z";"Lulu's Back In Town";"Lyle Ritz";"2025-08-13 17:53:32.137";"2025-08-13"
"2025-08-13T17:56:33.575Z";"Etuede gis-Moll (La Campanella)";"Eugen Cicero";"2025-08-13 17:56:33.575";"2025-08-13"
"2025-08-13T18:00:38.734Z";"Coquette";"Rose Murphy";"2025-08-13 18:00:38.734";"2025-08-13"
"2025-08-13T18:16:35.122Z";"Summertime";"Charlie Parker";"2025-08-13 18:16:35.122";"2025-08-13"
"2025-08-13T18:16:56.246Z";"Your Mind Is on Vacation";"Mose Allison";"2025-08-13 18:16:56.246";"2025-08-13"
"2025-08-13T18:30:57.396Z";"Yardbird Suite";"Olivier Anthony Theurillat";"2025-08-13 18:30:57.396";"2025-08-13"
"2025-08-13T18:47:32.666Z";"Susies Blues";"Jazz Noir Project";"2025-08-13 18:47:32.666";"2025-08-13"
"2025-08-13T18:47:35.041Z";"Doo-Boo-Dee-Boo";"Joey Altruda";"2025-08-13 18:47:35.041";"2025-08-13"
"2025-08-13T18:49:36.562Z";"(Un) Easy Does It";"Count Basie Trio";"2025-08-13 18:49:36.562";"2025-08-13"
"2025-08-13T22:38:41.657Z";"Velvet Vermouth";"Fillo";"2025-08-13 22:38:41.657";"2025-08-13"
