played_at;track.name;name;played;day
2024-01-19T12:26:34.308Z;Espuma y Arrecife (feat. Los Gaiteros de San Jacinto);Vicente Garcia;2024-01-19 12:26:34.308;2024-01-19
2024-01-19T12:30:06.080Z;Beso;Jósean Log;2024-01-19 12:30:06.08;2024-01-19
2024-01-19T12:33:43.050Z;Todo se transforma;Jorge Drexler;2024-01-19 12:33:43.05;2024-01-19
2024-01-19T12:43:40.098Z;Soledad y el Mar (feat. Los Macorinos);Natalia Lafourcade;2024-01-19 12:43:40.098;2024-01-19
2024-01-19T12:46:26.079Z;A Veces;Diamante Eléctrico;2024-01-19 12:46:26.079;2024-01-19
2024-01-19T12:48:21.117Z;Toda una Vida;Pedro Guerra;2024-01-19 12:48:21.117;2024-01-19
2024-01-19T15:26:18.281Z;Stuffy;Guy Lafitte;2024-01-19 15:26:18.281;2024-01-19
2024-01-19T15:28:58.769Z;Swingin' in the Promised Land (11-14-38);Edgar Hayes;2024-01-19 15:28:58.769;2024-01-19
2024-01-19T15:31:57.346Z;Rhythm on the River;Wingy Manone;2024-01-19 15:31:57.346;2024-01-19
2024-01-19T15:35:04.157Z;A-Well-A-Take-Um-A-Joe;Slim Gaillard;2024-01-19 15:35:04.157;2024-01-19
2024-01-19T15:38:08.880Z;Swingin’ the Berry’s;Guy Lafitte;2024-01-19 15:38:08.88;2024-01-19
2024-01-19T15:40:39.470Z;At the Clambake Carnival;Cab Calloway;2024-01-19 15:40:39.47;2024-01-19
2024-01-19T15:43:28.612Z;Castle Rock;Johnny Hodges & His Orchestra;2024-01-19 15:43:28.612;2024-01-19
2024-01-19T15:45:47.219Z;Careless Love;Bunk Johnson;2024-01-19 15:45:47.219;2024-01-19
2024-01-19T15:58:40.781Z;All That Meat And No Potatoes;Fats Waller;2024-01-19 15:58:40.781;2024-01-19
2024-01-19T16:06:17.066Z;Alma Mía (feat. Los Macorinos);Natalia Lafourcade;2024-01-19 16:06:17.066;2024-01-19
2024-01-19T16:09:20.903Z;Asilo (feat. Mon Laferte);Jorge Drexler;2024-01-19 16:09:20.903;2024-01-19
2024-01-19T16:12:35.135Z;San Bá;Vicente Garcia;2024-01-19 16:12:35.135;2024-01-19
2024-01-19T16:39:20.609Z;Capulí;Luz Pinos;2024-01-19 16:39:20.609;2024-01-19
2024-01-19T16:42:43.548Z;Cómo Me Sientas Tú Tan Bien;Pantoja;2024-01-19 16:42:43.548;2024-01-19
2024-01-19T16:46:32.890Z;Siempre me quedará;Bebe;2024-01-19 16:46:32.89;2024-01-19
2024-01-19T17:05:01.468Z;Parte de Mi;Simon Grossmann;2024-01-19 17:05:01.468;2024-01-19
2024-01-19T19:11:03.214Z;Pa Nuevayor;Vicente Garcia;2024-01-19 19:11:03.214;2024-01-19
2024-01-19T19:12:45.789Z;Citant Mercè Rodoreda;Els Amics De Les Arts;2024-01-19 19:12:45.789;2024-01-19
2024-01-19T19:15:45.222Z;Lligar No És Lo Teu;Suu;2024-01-19 19:15:45.222;2024-01-19
2024-01-19T19:19:05.361Z;Desembre;La Ludwig Band;2024-01-19 19:19:05.361;2024-01-19
2024-01-19T19:23:08.503Z;Elefants;Oques Grasses;2024-01-19 19:23:08.503;2024-01-19
2024-01-19T19:25:37.793Z;xinu xanu;Stay Homas;2024-01-19 19:25:37.793;2024-01-19
2024-01-19T19:30:11.322Z;4-3-3;Els Amics De Les Arts;2024-01-19 19:30:11.322;2024-01-19
2024-01-19T19:33:58.166Z;Conte d'Estiu;Socunbohemio;2024-01-19 19:33:58.166;2024-01-19
2024-01-19T19:37:49.378Z;Allà On Volia;Els Amics De Les Arts;2024-01-19 19:37:49.378;2024-01-19
2024-01-19T19:42:00.699Z;El fill del rei;La Ludwig Band;2024-01-19 19:42:00.699;2024-01-19
2024-01-19T19:44:52.883Z;No sé si;Gertrudis;2024-01-19 19:44:52.883;2024-01-19
2024-01-19T19:47:15.382Z;Fotogrames;Da Souza;2024-01-19 19:47:15.382;2024-01-19
