"played_at";"track.name";"name";"played";"day"
"2026-02-02T06:25:09.877Z";"Herman’s Habit";"Justin Hurwitz";"2026-02-02 06:25:09.877";"2026-02-02"
"2026-02-02T06:25:23.264Z";"City Of Stars";"Ryan Gosling";"2026-02-02 06:25:23.264";"2026-02-02"
"2026-02-02T06:27:05.323Z";"City Of Stars";"Ryan Gosling";"2026-02-02 06:27:05.323";"2026-02-02"
"2026-02-02T07:04:41.380Z";"En la que el Bernat se't troba - (Apolo 29/3/22)";"Manel";"2026-02-02 07:04:41.38";"2026-02-02"
"2026-02-02T07:08:52.703Z";"Al mar - (Apolo 29/3/22)";"Manel";"2026-02-02 07:08:52.703";"2026-02-02"
"2026-02-02T07:15:27.732Z";"La jungla - (Apolo 29/3/22)";"Manel";"2026-02-02 07:15:27.732";"2026-02-02"
"2026-02-02T07:19:58.711Z";"Captatio benevolentiae - (Apolo 29/3/22)";"Manel";"2026-02-02 07:19:58.711";"2026-02-02"
"2026-02-02T07:29:51.466Z";"Les estrelles - (Apolo 29/3/22)";"Manel";"2026-02-02 07:29:51.466";"2026-02-02"
"2026-02-02T07:40:18.435Z";"Jo competeixo - (Apolo 29/3/22)";"Manel";"2026-02-02 07:40:18.435";"2026-02-02"
"2026-02-02T07:59:29.076Z";"Copacabana";"IZAL";"2026-02-02 07:59:29.076";"2026-02-02"
"2026-02-02T08:11:00.870Z";"Copacabana";"IZAL";"2026-02-02 08:11:00.87";"2026-02-02"
"2026-02-02T08:13:07.699Z";"Sabor a Mí";"Antonio González El Pescailla";"2026-02-02 08:13:07.699";"2026-02-02"
"2026-02-02T08:17:27.635Z";"La Meva Terra és el Mar";"Lax'n'Busto";"2026-02-02 08:17:27.635";"2026-02-02"
"2026-02-02T08:21:27.302Z";"Serem Ocells";"Oques Grasses";"2026-02-02 08:21:27.302";"2026-02-02"
"2026-02-02T08:31:05.630Z";"Estiu";"ZOO";"2026-02-02 08:31:05.63";"2026-02-02"
"2026-02-02T11:07:59.576Z";"Vincent's Tale - Prologue - Sunflowers";"Ren";"2026-02-02 11:07:59.576";"2026-02-02"
"2026-02-02T11:13:35.692Z";"Vincent's Tale - Self Portrait";"Ren";"2026-02-02 11:13:35.692";"2026-02-02"
"2026-02-02T11:17:53.777Z";"Vincent's Tale - The Bedroom";"Ren";"2026-02-02 11:17:53.777";"2026-02-02"
"2026-02-02T11:19:19.991Z";"Richard's Tale - Locked Up";"Ren";"2026-02-02 11:19:19.991";"2026-02-02"
"2026-02-02T11:20:20.162Z";"Richard's Tale - Set The Scene";"Ren";"2026-02-02 11:20:20.162";"2026-02-02"
"2026-02-02T11:21:44.892Z";"Richard's Tale - The Five Stages of Grief";"Ren";"2026-02-02 11:21:44.892";"2026-02-02"
"2026-02-02T11:23:16.286Z";"Richard's Tale - Acceptance";"Ren";"2026-02-02 11:23:16.286";"2026-02-02"
"2026-02-02T11:25:35.081Z";"Vincent's Tale - Starry Night - Act I";"Ren";"2026-02-02 11:25:35.081";"2026-02-02"
"2026-02-02T11:26:38.217Z";"Vincent's Tale - Starry Night - Act II";"Ren";"2026-02-02 11:26:38.217";"2026-02-02"
"2026-02-02T11:29:22.791Z";"Vincent's Tale - Starry Night - Act III";"Ren";"2026-02-02 11:29:22.791";"2026-02-02"
"2026-02-02T11:30:18.344Z";"Vincent's Tale - Starry Night - Act IV";"Ren";"2026-02-02 11:30:18.344";"2026-02-02"
"2026-02-02T13:23:13.893Z";"Life Is Funny";"Ren";"2026-02-02 13:23:13.893";"2026-02-02"
"2026-02-02T13:35:42.412Z";"Tornarem";"Lax'n'Busto";"2026-02-02 13:35:42.412";"2026-02-02"
"2026-02-02T13:39:45.175Z";"Elefants";"Oques Grasses";"2026-02-02 13:39:45.175";"2026-02-02"
"2026-02-02T13:43:06.338Z";"Músic de Carrer";"Txarango";"2026-02-02 13:43:06.338";"2026-02-02"
"2026-02-02T13:47:26.524Z";"Jean-Luc";"Els Amics De Les Arts";"2026-02-02 13:47:26.524";"2026-02-02"
"2026-02-02T13:49:27.463Z";"Lola";"Antonio González El Pescailla";"2026-02-02 13:49:27.463";"2026-02-02"
"2026-02-02T13:52:36.196Z";"En Voler";"Projecte Mut";"2026-02-02 13:52:36.196";"2026-02-02"
"2026-02-02T13:55:50.911Z";"La Rambla";"Quimi Portet";"2026-02-02 13:55:50.911";"2026-02-02"
"2026-02-02T13:58:32.325Z";"L'Empordà";"Sopa De Cabra";"2026-02-02 13:58:32.325";"2026-02-02"
"2026-02-02T14:03:15.582Z";"Louisiana O Els Camps De Cotó";"Els Amics De Les Arts";"2026-02-02 14:03:15.582";"2026-02-02"
"2026-02-02T14:08:16.170Z";"Tot Està per Fer";"Acció";"2026-02-02 14:08:16.17";"2026-02-02"
"2026-02-02T14:13:23.604Z";"Qualsevol Nit Pot Sortir El Sol";"Sabor De Gracia";"2026-02-02 14:13:23.604";"2026-02-02"
"2026-02-02T14:16:59.318Z";"Qui més estima";"Mishima";"2026-02-02 14:16:59.318";"2026-02-02"
"2026-02-02T14:21:39.547Z";"El Lado Mas Bestia de la Vida";"Albert Pla";"2026-02-02 14:21:39.547";"2026-02-02"
"2026-02-02T14:26:09.028Z";"Flor de primavera";"La Troba Kung-Fú";"2026-02-02 14:26:09.028";"2026-02-02"
"2026-02-02T14:29:31.175Z";"Ceràmiques Guzmán";"Manel";"2026-02-02 14:29:31.175";"2026-02-02"
"2026-02-02T14:38:25.647Z";"La gent normal - (Apolo 29/3/22)";"Manel";"2026-02-02 14:38:25.647";"2026-02-02"
