"played_at";"track.name";"track.id";"name";"artist.id";"featured_artists";"featured_artist_ids";"played";"day"
"2026-08-03T07:29:11.531Z";"Fever";"3wJVBz7gvGTwTWVAxFa6ny";"Dua Lipa";"6M2wZ9GZgrQXHCFfjv46we";"Angèle";"3QVolfxko2UyCOtexhVTli";"2026-08-03 07:29:11.531";"2026-08-03"
"2026-08-03T08:18:55.468Z";"Confetti";"73m3OYU7lG7irNbFjNipwF";"Charlotte Cardin";"1G0YV9WooUBjrwDq0Q7EFK";;;"2026-08-03 08:18:55.468";"2026-08-03"
"2026-08-03T08:21:38.981Z";"Solito - Remix";"4ZpKXMUZa6BIb2NlPRPiTC";"Dyce";"77s8dtx2Y0GfkwgSJDH7pc";"Mala Rodríguez";"3Ces1OJeGOVGcUB0wPaPXJ";"2026-08-03 08:21:38.981";"2026-08-03"
"2026-08-03T08:25:06.176Z";"Un vermú conmigo";"7siCyYmarG5TfLQbWlNKJ7";"LUSILLON";"3boSqy30OQ3ES9e3UJb6Up";;;"2026-08-03 08:25:06.176";"2026-08-03"
"2026-08-03T08:27:48.984Z";"Malva Marina";"3qf5fljg799THIMlK0F7LC";"Malva Vela";"42gMsjzIofZl8uTc1NmRHz";"Lin Cortés";"3SBsCnbQ5q8bOW0uBcwG54";"2026-08-03 08:27:48.984";"2026-08-03"
"2026-08-03T08:31:20.671Z";"Huuda! (feat. JVG) - Remix";"4XzqJ6ntqIiZII6GUyHXz2";"Haloo Helsinki!";"0JTMRuiDzOCjWuYtWMgv2s";"JVG";"55mdlQp6zN8zdyIYB9DDQj";"2026-08-03 08:31:20.671";"2026-08-03"
"2026-08-03T08:34:05.688Z";"Viimeinen pisara (feat. Etta)";"57fbod7eZlRVKTg71wHEqV";"Jenni Vartiainen";"6PP1ZiMzBbTeRqGvhr3pV9";"Etta";"3Lc2yroP05lRK5z9NtQTkc";"2026-08-03 08:34:05.688";"2026-08-03"
"2026-08-03T08:39:49.282Z";"El lado oscuro";"3AR1c3Dssq51WlGGkuYJNj";"Jarabe De Palo";"5B6H1Dq77AV1LZWrbNsuH5";;;"2026-08-03 08:39:49.282";"2026-08-03"
"2026-08-03T08:48:16.559Z";"Sin documentos";"1vQLxsVTfKSUwbSsZ5MkYX";"Bunbury";"4uqzzJg3ww5eH7IgGV7DMT";"Andrés Calamaro";"3tAICgiSR5PfYY4B8qsoAU";"2026-08-03 08:48:16.559";"2026-08-03"
"2026-08-03T08:52:21.423Z";"Llamando a la tierra - Serenade From the Stars";"7M65iLprqQ9UJNqer4g6AM";"M-Clan";"4oVqMVHC03xnYJ7fyb1dh6";;;"2026-08-03 08:52:21.423";"2026-08-03"
"2026-08-03T08:56:36.734Z";"No Puedo Vivir Sin Ti";"2LUP49H9wb6nw2Y5oQzUpZ";"Los Ronaldos";"1OTnb625gMBm5NsLYAdUEm";;;"2026-08-03 08:56:36.734";"2026-08-03"
"2026-08-03T08:59:47.465Z";"Matanza En El Hotel";"1HoQJxHaWa8USxYXjuJpTK";"Ultraligera";"5Vv5llyiK1nlME2UNDzPBB";;;"2026-08-03 08:59:47.465";"2026-08-03"
"2026-08-03T09:03:37.955Z";"Cumbia del soltero";"6kJ2IyRZTL7Eo64hdh2Jw8";"Café Quijano";"2ECP3nWC88LaFz4oQzTo3Z";;;"2026-08-03 09:03:37.955";"2026-08-03"
"2026-08-03T09:07:42.763Z";"Aunque no sea conmigo";"0dRY4OrSY53yUjVgfgne1W";"Bunbury";"4uqzzJg3ww5eH7IgGV7DMT";"Andrés Calamaro";"3tAICgiSR5PfYY4B8qsoAU";"2026-08-03 09:07:42.763";"2026-08-03"
"2026-08-03T09:13:51.536Z";"Entre dos tierras";"4rJdaSwOCHLBhxdMsymeMw";"Heroes Del Silencio";"3qAPxVwIQRBuz5ImPUxpZT";;;"2026-08-03 09:13:51.536";"2026-08-03"
"2026-08-03T09:20:33.252Z";"Irresponsables";"0dsViRiDTIuexAL42Nc1Kh";"Babasonicos";"2F9pvj94b52wGKs0OqiNi2";;;"2026-08-03 09:20:33.252";"2026-08-03"
