"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Laura Itandehui";2024-02-04;171750;"Yo no Necesito de Mucho";52;"2021-07-16";"4LS3jrPzt2givh5P1n98Ot"
"John Rowcroft";2024-02-04;118138;"Burlesque Grotesque";30;"2011-12-23";"3km2hszttN117HHQAkmqcD"
"Latché Swing";2024-02-04;175800;"Hungaria";29;"2014-02-14";"1DeIDuPUxkj02UizVRWQnZ"
"Clairy Browne & The Bangin' Rackettes";2024-02-04;189693;"I'll Be Fine";42;"2013-01-01";"1kpfM8aj3NdAQkgYQ3bZ4r"
"Deluxe";2024-02-04;117066;"Quemas";39;"2008-03-11";"2wmtyzgYWh0ZFwD0yHyUUw"
"Roy Borland";2024-02-04;210753;"Limón (with El Kanka)";28;"2022-06-10";"3IkAonCJhDJxm4Lt5y1s1k"
"LaVern Baker";2024-02-04;136693;"You're the Boss";34;"1953-12-24";"3Fak8FAO4UhkXo4gwkR2KM"
"Ladilla Rusa";2024-02-04;273298;"Conchi Coach";28;"2022-04-29";"3QMWKc9qrHbGt2LfzviWAo"
"La La Love You";2024-02-04;185790;"Himno (para los que están jodidos)";58;"2023-05-05";"5a159rNIxq78lGa4qnoZBL"
"Carolina Durante";2024-02-04;193453;"Las Canciones De Juanita";46;"2019-04-26";"6JTja1R92HnzeT65EHEYak"
"Los gandules";2024-02-04;175920;"Ese Loco Material";35;"2010";"2DOiQck1RIm7nGYDcRo8Yy"
"Jah Chango";2024-02-04;184440;"Sofá de Cuero";26;"2018-10-05";"35HhLIOh2rUBT9Z3dxTGRZ"
"Roseaux";2024-02-04;326720;"Walking On the Moon";54;"2012-11-12";"1Nj2M3REfrY1yOcrvD6B63"
"César Mora";2024-02-04;399918;"Canela (Duck Sessions)";41;"2019-05-10";"78egU4EUG7u15cZGAzBPwc"
"Gossip";2024-02-04;242773;"Heavy Cross";44;"2007";"5986Ox60Imwum9mn64LDPl"
"Tanxugueiras";2024-02-04;178965;"Terra";42;"2022-07-29";"1dZrD1qyXNIxBufhtYOK9f"
"Cheo";2024-02-04;232241;"Corazón Usado";21;"2023-05-26";"0BJV6b6EauKG7XbLT0OQkZ"
"Los Alhama";2024-02-04;145280;"Veras";44;"1979-01-01";"6sD5zlDx4I2ViZFv5RRAqX"
"Los Romeos";2024-02-04;173960;"Muérdeme - 2016 Remastered Version";30;"1990";"5RFgs66MWf1kdsXeKvMsYa"
"Flora Martínez";2024-02-04;177001;"Sweet and Gentle - Me Lo Dijo Adela";40;"2019-06-28";"3SXICRvgmwf6X6dUAReJLi"
"Verto";2024-02-04;197646;"Oie Gayego";35;"2020-01-19";"5T5016PDZqttItzDvVsh8W"
"Papa Topo";2024-02-04;195509;"La Chica Vampira";41;"2011-03-14";"47DNBrVLE0i9SliSZLkcyG"
"Julie London";2024-02-04;159106;"Fly Me To The Moon (In Other Words)";54;"1963";"5auWOjG5DsSccVLD9qqjd0"
"Andrés Do Barro";2024-02-04;191933;"O Tren - Remasterizado";24;"1970";"1qdjbtILERtlSxfNmgpPmW"
"Ariel Rot";2024-02-04;227184;"Espero que me disculpen (feat. Los Zigarros)";31;"2016-09-16";"0pgQsuveze48yJtLSvT7DQ"
"iLe";2024-02-04;191266;"donde nadie más Respira";28;"2022-10-21";"0pRdkDSMZds1G61wXr2U6i"
"Maren";2024-02-04;191373;"La Estación Espacial de Teruel";38;"2021-04-23";"5EpsprQq8FKMEUWvae2usH"
"Derby Motoreta’s Burrito Kachimba";2024-02-04;346030;"Gitana";39;"2021-04-22";"5ZgIkt5ZiioKDEhc9Ojt1U"
"Lamari";2024-02-04;245673;"La Vida Viene y Va";34;"2020-07-17";"62WKDrtJXG0WIqbeyjCAEb"
"Raffaella Carrà";2024-02-04;232786;"Hay Quel Venir al Sur";52;"2023-06-23";"1hnEf1TKmi8Kt5h4aYPtNQ"
