"";"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"1";"Amaral";2023-07-02;224813;"Salta";35;"2005-03-14";"6DCFKUUTjEANNG889DLYaW"
"2";"Funambulista";2023-07-02;175893;"Me Gusta La Vida";63;"2022-11-18";"3Yt0nEGXUPb9EjlGJ7cGSF"
"3";"Queralt Lahoz";2023-07-02;232855;"No Me Salves";42;"2023-03-10";"3fFodInCmkqeErsA3w551s"
"4";"Andy Chango";2023-07-02;198800;"Neuronas";30;"1999-01-15";"1rFhhCEFMlmcyGCqrHgd87"
"5";"Coque Malla";2023-07-02;218999;"Una sola vez";29;"2021-11-12";"1rPNCYwByG3PxguLvjvR2G"
"6";"Sidonie";2023-07-02;266623;"Carreteras Infinitas";55;"2016-09-30";"2JQ398pv4WeQPslHlFzrtP"
"7";"Pat Kalla";2023-07-02;238927;"Cumbia de Paris";32;"2021-05-28";"6FzEqccZqjwYsIEQ4TgO42"
"8";"Violeta Rivas";2023-07-02;126413;"Que Suerte!";30;"1964-09-06";"3UOW9ci5q8f12G04w90kMM"
"9";"Muchachito Bombo Infierno";2023-07-02;191746;"Sin documentos";34;"2006-11-22";"1jJyQ18jRTKjL9pdG7JWC7"
"10";"Vetusta Morla";2023-07-02;388317;"Consejo de Sabios - Directo Estadio Metropolitano";38;"2022-12-16";"2BqBFdAwEmtqQjzpWGCfCz"
"11";"Gossos";2023-07-02;285146;"Corren";34;"2008-11-15";"6G074x9G5oWF0IAZTkEm0z"
"12";"Lildami";2023-07-02;186594;"Supermercat";45;"2023-02-23";"1G5Wbijgc4MomqCJ7eWajm"
"13";"Gilberto Gil";2023-07-02;316333;"Could You Be Loved (feat. Henrique Portugal & Samuel Rosa)";36;"2002-11-30";"39JW7qNJNN7NDr5jPRr1T8"
"14";"Freedom Dub";2023-07-02;239506;"Sympathy for the Devil";38;"2012-09-12";"6qMfCSnOQR0PK9W61wLPPJ"
"15";"Señor Coconut";2023-07-02;235506;"Kiss";28;"2008-06-16";"3Z4k93OCoXs2UcT695ynNG"
"16";"San Juan Project";2023-07-02;205113;"El Hilo Negro";35;"2015-09-18";"0xpFJk06jUDtOdkXQrXNJo"
"17";"Efecto Pasillo";2023-07-02;208013;"Cerca de ti (feat. Georgina)";14;"2021-12-10";"0djEi0YumLKVrLMQgY6hmC"
"18";"Fémina";2023-07-02;271573;"Pero Es Locura";42;"2014-10-20";"4SgkWnlMfXsXPJcYArOYTl"
"19";"Elefantes";2023-07-02;265213;"Al olvido (feat. Ara Malikian, Rozalén, Coque Malla, Lori Meyers y Mikel Izal)";48;"2022-10-07";"44VC4c0W93tdgtIel3SYAu"
"20";"The Uski’s";2023-07-02;146546;"Katuek Bezala";30;"2009-11-20";"00G4jCeys3GHgZcHQvZRZT"
"21";"Kumbia Queers";2023-07-02;151355;"Misirlou";32;"2015-07-08";"2dYFn3SFif1giyM2kGPsyg"
"22";"The Mighty Mocambos";2023-07-02;217174;"Theme From Beverly Hills Cop (Axel F) - Live At Jam Pdm";30;"2022-10-28";"48T1w5jnn08OYOM5taRNI2"
"23";"Mala Rodríguez";2023-07-02;193502;"El Gallo - Remastered 2015";34;"2015-10-23";"0jSaLt79iNOr9ydaF1cMLR"
"24";"Maui";2023-07-02;228085;"Quererte a medias";39;"2022-10-28";"7oQLReHT3MMvCo90MlXoDU"
"25";"Kortatu";2023-07-02;197480;"Mierda De Ciudad";50;"1985-05-01";"13sAtrIn7lO0xiO4G3dyR6"
"26";"We Are Standard";2023-07-02;218800;"The First Girl Who Got a Kiss Without a Please";28;"2008-01-01";"4R2pBDQ4etUJESXKNFcWzq"
"27";"Afro Festival led by Fantastic Tchico Tchicaya";2023-07-02;477617;"El Manicero Se Va";36;"2012-07-23";"7d2rxMKDWjqhMOUKSVBxyr"
"28";"Itoiz";2023-07-02;217720;"Clash Eta Pistols";28;"1985-05-15";"2qufU1UaCGzoCtYTxL6DZ3"
"29";"Sol Pereyra";2023-07-02;192335;"Me Gusta";33;"2019";"4NoFgd1F0LhrpRe1Ej2saH"
"30";"Quique González";2023-07-02;162920;"La vida te lleva por caminos raros";39;"2007-10-02";"44EhYpNC4qqM1vZlMFtbhP"
