"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Wild Magnolias";2024-11-03;331333;"Brother John Is Gone / Herc-Jolly-John";26;"2005-12-06";"4sVRgVyVsDVWFmtEgNwaF5"
"Otra";2024-11-03;232026;"Nature Boy";28;"2020-10-23";"2oeGzluxJbiftaVWS0XC4t"
"John Lee Hooker";2024-11-03;287133;"Chill Out (Things Gonna Change) (feat. Carlos Santana) (2007 - Remaster)";45;"1995-02-21";"1gHlGo1eKQl5ppd7pdihNy"
"Diana Krall";2024-11-03;267720;"Temptation";52;"2004-01-01";"7dZFqyK7mEYr3tyatC7k0s"
"Gerry Woo";2024-11-03;272106;"Jive Samba";28;"1968-01-01";"4b00BIUArtJVNlqztdU4FD"
"The Souljazz Orchestra";2024-11-03;252080;"Kingdom Come";39;"2014-02-24";"2w28yTFohFkW0UnIGKqLdY"
"The Cat Empire";2024-11-03;313053;"Two Shoes";53;"2005-04-19";"3wzXwICSZrUJd5D8gmdDnh"
"Luca Sestak";2024-11-03;370733;"Blame Game";28;"2014-06-13";"1gWiD8uHEoLtJEmJTpbOY8"
"Chicha Libre";2024-11-03;273760;"Gnosienne No.1";34;"2008-03-25";"0p5Iiuaj58qCxzMYqgP7B1"
"Gilles Peterson's Havana Cultura Band";2024-11-03;288813;"Cuando Ya No Este";24;"2011-11-14";"3AjaxA7G1LbxFbmEnuIdyo"
"Chango Spasiuk";2024-11-03;275026;"Nazareno";27;"2016-06-17";"09sEjVuNxgmY9OxKR6P9Jn"
"Peter Cincotti";2024-11-03;255760;"St. Lewis Blues";28;"2004-01-01";"7HFqV8NOZJ4fWXbz79tvws"
"China Moses";2024-11-03;251910;"Put It on the Line";28;"2017-03-31";"2xPn8Txu2xvgZxgMq4uYkq"
"Adam Ben Ezra";2024-11-03;199773;"Flamenco";24;"2017-05-19";"0ZbiEVkgBgALmGacUekSWF"
"Daniel Farrant";2024-11-03;205655;"Don't Give Up On Love";26;"2014-11-09";"6iLRirpdSHH4M0Vj6TiMQI"
"Mexican Institute Of Sound";2024-11-03;226742;"México";41;"2012-06-12";"7vkBraQBpz7zEjbtjUR9Zt"
"Hugh Coltman";2024-11-03;179746;"I Can't Be Bothered";29;"2015-08-28";"1dswSpC4XaDvvDp8cj6FWt"
"Enoch Light";2024-11-03;160840;"Perhaps, Perhaps, Perhaps";28;"1957-12-10";"13BrANkZHhLDmj4TSN6Fxz"
"Tok Tok Tok";2024-11-03;220773;"50 Ways To Leave Your Lover*";28;"2005-01-17";"2AlcgphFRQqTiNPZ3Wds0k"
"Thomas Dutronc";2024-11-03;204213;"C'est si bon";36;"2020-06-19";"33aacw53MZVyxjzjqxcs9o"
"Les doigts de l'homme";2024-11-03;205933;"Minor Swing";26;"2009";"15i4how91OvGTmat782jcF"
"Daymé Arocena";2024-11-03;264026;"La Rumba Me Llamo Yo";27;"2017-03-10";"4rQB5etrq03won65k48kpq"
"Sandra Bernardo";2024-11-03;247548;"Fruta";32;"2018-02-23";"08VEqnPNpixzPjmOWbz9sw"
"Chucho Valdés";2024-11-03;249818;"Mambo Influenciado";25;"2022-07-22";"7edEy2PzNNF2NnzHLw45yR"
"Parquesvr";2024-11-03;190321;"Pero";32;"2020-06-12";"6pz8PovsZpDu1uhct6bOUE"
"Karrin Allyson";2024-11-03;360333;"Moanin'";26;"2002-01-01";"7h7XHPDvoFxE7MswAuDvgp"
"Charles Mingus";2024-11-03;482959;"Moanin'";41;"1960-03";"7EOQggjtK8JCqeRz9IG33e"
"Polo";2024-11-03;185400;"La fée clochette";28;"1996";"7DpXRp9cNdaRFsIlvpsEDv"
"Pink Turtle";2024-11-03;189066;"Maniac";24;"2010-09-01";"2p1vZjBNGuLTU8JiDPmdWv"
"Nikki Yanofsky";2024-11-03;229840;"Bienvenue dans ma vie";41;"2010-01-01";"2FZvvk2PKLy5CX0MXLZdis"
